Palabra;Pronun;Significado;id
roof;(ing-ed)  (ruuf) ;	Tejado, techado;652
room;(rum)  ;	Pieza, espacio, habitación;653
room ;rum ;sala ;1772
root;(ing-ed)  (ruut) ;	Raíz;654
rope;roʊp;soga;1305
rose;roʊz;rosa;1306
rough;(raf)  ;	Aspero, tosco, grosero;655
round;(raund)  ;	Redondo;656
round ;raʊnd ;redondo ;1773
row;roʊ;fila;1307
rub;(bing-bed)  (rab) ;	Frotamiento, fricción;657
rule;(r-ruling-d) ( ruul) ;	Regla, mando;658
rule ;rul ;regla ;1774
run;(ran)  ;	Carrera;659
sad;(sad)  ;	Triste;660
safe;(seif) ;	Salvo, seguro, caja fuerte;661
said;sɛd;dicho;1308
said ;sɛd ;dijo ;1775
sail;(or-ing-ed)  (seil) ;Vela de buque;662
salt;(solt)  ;	Sal;663
same;(seim)  ;	Mismo, semejante, igual;664
same ;seɪm ;mismo ;1776
sand;(sand)  ;	Arena;665
sat;sæt;se sentó;1309
saturday;(sáteRdEi)  ;	Sábado;666
save;seɪv;ahorrar;1310
saw;sɔ;sierra;1311
saw ;sɔ ;vio ;1777
say;(sei)  ;	Decir;667
scale;(skel)  ;	Escalar, escala;668
school;(scuul)  ;	Escuela;669
school ;skul ;escuela ;1778
science;(sáiens)  ;	Ciencia;670
science ;ˈsaɪəns ;ciencia ;1779
scientist;ˈsaɪəntɪst;científico;1312
scissors;(sízeRz)  ;	Tijeras;671
score;skɔr;puntaje;1313
screw;(ing-d)  (scruu) ;	Tornillo;672
sea;(sii)  ;	Mar;673
sea ;si ;mar ;1780
seat;(ing-ed)  (siit) ;	Asiento;674
second;(sécond)  ;	Segundo;675
second ;ˈsɛkənd ;segundo ;1781
secret;(síicrit)  ;	Secreto;676
secretary;(sécretAri)  ;	Secretario;677
section;ˈsɛkʃən;sección;1314
see;(síi)  ;	Ver;679
seed;(er-ing-ed)  (siid) ;	Semilla;678
seeds;sidz;semillas;1315
seem;(síim)  ;	Parecer;680
seem ;sim ;parece ;1782
seen;sin;visto;1316
selection;(selék-Shon)  ;	Selección;681
self;(self)  ;	Mismo, sí mismo, propio;682
self ;sɛlf ;yo ;1783
sell;sɛl;vender;1317
send;(send)  ;	Enviar, remitir, despachar;683
sense;(sens)  ;	Sentido, entendimiento ;684
sent;sɛnt;enviado;1318
sentence;ˈsɛntəns;oración;1319
sentence ;ˈsɛntəns ;frase ;1784
separate;(separating-d) (sepArEit) ; Separado, desunido ;685
september;(septémbeR)  ;	Septiembre;686
serious;(síriOs)  ;	Serio, grave;687
servant;(séeRvAnt)  ;	Sirviente;688
serve;sɜrv;atender;1320
serve ;sɜrv ;servir ;1785
set;sɛt;colocar;1321
set ;sɛt ;establecer ;1786
settled;ˈsɛtəld;establecido;1322
seven;ˈsɛvən;Siete;1323
several;ˈsɛvrəl;varios;1324
several ;ˈsɛvrəl ;varios ;1787
sex;(sex)  ;	Sexo;689
shade;(shading-d)  (Sheid) ;	Sombra, oscuridad ;690
shake;(SHeik)  ;	Sacudida, sacudimiento;691
shall;ʃæl;deberá;1325
shame;(shaming-d)  (SHeim) ;	Vergüenza;692
shape;ʃeɪp;forma;1326
shape ;ʃeɪp ;forma ;1788
sharp;(SHaaRp)  ;	Afilado, cortante, agudo;693
she;(SHíi)  ;	Ella;694
she ;ʃi ;ella ;1789
sheep;(SHiip)  ;	Oveja;695
shelf;(SHelf)  ;	Estante;696
ship;(pin-ped)  (SHip) ;	Buque, vapor, embarcación;697
ship ;ʃɪp ;barco ;1790
shirt;(SReeRt)  ;	Camisa;698
shock;(ing-ed)  (SHok) ;	Golpe, choque, sacudida;699
shoe;(SHuus)  ;	Zapato;700
shoes;ʃuz;zapatos;1327
shop;ʃɑp;comercio;1328
short;(SHooRt)  ;	Corto, corta, breve;701
short ;ʃɔrt ;corto ;1791
should;ʃʊd;debería;1329
should ;ʃʊd ;debe ;1792
shoulder;ˈʃoʊldər;hombro;1330
shouted;ˈʃaʊtəd;gritó;1331
show;ʃoʊ;espectáculo;1332
show ;ʃoʊ ;mostrar ;1793
shown;ʃoʊn;mostrado;1333
shut;(ting)  (SHat) ;	Cerrado;702
side;(said)  ;	Lado, costado;703
side ;saɪd ;lado ;1794
sight;saɪt;vista;1334
sign;(er-ed)  (sain) ;	Señal, firma, signo;704
silent;ˈsaɪlənt;silencioso;1335
silk;(silk)  ;	Seda;705
silver;(sílvER)  ;	Plata;706
similar;ˈsɪmələr;similar;1336
simple;(símpEL)  ;	Simple;707
simple ;ˈsɪmpəl ;simple ;1795
since;sɪns;desde;1337
since ;sɪns ;desde ;1796
sing;sɪŋ;cantar;1338
sing ;sɪŋ ;cantar ;1797
single;ˈsɪŋɡəl;soltero;1339
sir;sɜr;Señor;1340
sister;(síster)  ;	Hermana;708
sit;sɪt;sentarse;1341
sit ;sɪt ;siéntese ;1798
six;sɪks;seis;1342
six ;sɪks ;seis ;1799
size;(saiz)  ;	Tamaño, dimensión;709
size ;saɪz ;talla ;1800
skin;(skin)  ;	Piel, cutis;710
skirt;(ing-ed)  (squeeRt) ;	Falda, borde, orilla ;711
sky;(scai)  ;	Cielo;712
sleep;(slíip)  ;	Sueño;713
sleep ;slip ;dormir ;1801
slip;(ing-ped)  (slip) ;	Resbalón;714
slope;(sloUp)  ;	Declive, en pendiente;715
slow;(sloU)  ;	Lento;716
slow ;sloʊ ;lento ;1802
slowly;ˈsloʊli;despacio;1343
small;(smool)  ;	Pequeño, chico;717
small ;smɔl ;pequeño ;1803
smash;(ing-ed)  (smaSH) ;	Destrozo, rompimiento, quiebra ;718
smell;(smel)  ;	Olor, olfato;719
smile;(smiling-d)  (smail) ;	Sonrisa;720
smiled;smaɪld;sonrió;1344
smoke;(er-ing-ed)  (smoUk) ;	Humo;721
smooth;(smuuDZ)  (smuud) ;	Suave, liso, pulido;722
snake;(sneik)  ;	Serpiente ;723
sneeze;(sneezing-d)  (sniiz) ;  Estornudo ;724
snow;(ing-ed)  (snoU) ;	Nieve;725
snow ;snoʊ ;nieve ;1804
so;(soU)  ;	Así, tan, tanto, así como;726
so ;soʊ ;así ;1805
soap;(ing-ed)  (soUp) ;	Jabón;727
sock;(sok)  ;	Calcetín;728
soft;(soft)  ;	Blando;729
soil;sɔɪl;suelo;1345
soldiers;ˈsoʊlʤərz;soldados;1346
solid;(sólid)  ;	Sólido;730
solution;səˈluʃən;solución;1347
solve;sɑlv;resolver;1348
some;(sam)  ;	Alguno, algo de , algún;731
some ;sʌm ;algunos ;1806
someone;ˈsʌmˌwʌn;alguien;1349
something;ˈsʌmθɪŋ;algo;1350
sometimes;səmˈtaɪmz;a veces;1351
son;(san)  ;	Hijo;732
song;(song)  ;	Canción;733
song ;sɔŋ ;canción ;1807
soon;sun;pronto;1352
soon ;sun ;pronto ;1808
sort;(ing-ed)  (sooRt) ;	Especie, clase;734
sound;(ing-ed)  (saund) ;	Sonido, ruido;735
sound ;saʊnd ;sonido ;1809
soup;(suup)  ;	Sopa;736
south;(sauz)  ;	Sur;737
south ;saʊθ ;sur ;1810
southern;ˈsʌðərn;del Sur;1353
space;(speis)  ;	Espacio;738
spade;(speid)  ;	Pala;739
speak;spik;hablar;1354
special;(spéSHal)  ;	Especial;740
special ;ˈspɛʃəl ;especial ;1811
speed;spid;velocidad;1355
spell;spɛl;deletrear;1356
spell ;spɛl ;hechizo ;1812
sponge;(span@)  (span-y) ;	Esponja;741
spoon;(spuun)  ;	Cuchara;742
spot;spɑt;lugar;1357
spread;sprɛd;desparramar;1358
spring;(spring)  ;	Primavera, resorte;743
square;(scueAR)  ;	Cuadrado, plaza;744
stage;(stei@)  (stei-y) ;	Etapa, escenario, andamio ;745
stamp;(er-ing-ed)  (stamp) ;   Estampilla, timbre, sello ;746
stand;stænd;pararse;1359
star;(staaR)  ;	Estrella;747
star ;stɑr ;estrella ;1813
stars;stɑrz;estrellas;1360
start;(er-ing-ed)  (staaRt) ;	Comienzo, partida, principio S;748
start ;stɑrt ;empezar ;1814
state;steɪt;estado;1361
state ;steɪt ;estado ;1815
statement;ˈsteɪtmənt;declaración;1362
station;(steíSHon)  ;	Estación;750
stay;steɪ;permanecer;1363
stay ;steɪ ;permanecer ;1816
steam;(stiim)  ;	Vapor;751
steamert;(stiimeR)  ;	Buque movido a vapor;752
steel;(stiil)  ;	Acero;753
stem;(stem)  ;	Tallo, tronco;754
step;(step)  ;	Paso, peldaño, grada;755
step ;stɛp ;paso ;1817
stich;(er-ing-ed)  (stich) ;	Puntada, costura S;760
stick;(stik)  ;	Bastón, palo;756
sticky;(stiki)  ;	Pegajoso, a-, os, as;757
stiff;(stif)  ;	Tieso;758
still;(stil)  ;	Todavía, aún, quieto ;759
still ;stɪl ;todavía ;1818
stomach;(stómak)  ;	Estómago;762
stone;(stoUn)  ;	Piedra;763
stood;stʊd;permaneció;1364
stood ;stʊd ;parado ;1819
stop;(ping-ped)  (stop) ;	Detención, parada, pausa ;764
stop ;stɑp ;parar ;1820
store;(storing-ed)  (stooR) ;	Almacén, depósito, reserva S;765
story;ˈstɔri;historia;1365
story ;ˈstɔri ;historia ;1821
straight;(streit)  ;	Recto, directamente, directo ;767
strange;(stréin@)  (stréin-y) ;	Extraño;768
stream;strim;arroyo;1366
street;(striit)  ;	Calle;769
street ;strit ;calle ;1822
stretch;(er-ing-ed)  (strech) ;	Extensión, estirón ;770
stretched;strɛʧt;estirado;1367
string;strɪŋ;cadena;1368
strong;(strong)  ;	Fuerte, robusto;771
strong ;strɔŋ ;fuerte ;1823
structure;(strák-cheR)  ;	Estructura, construcción;772
students;ˈstudənts;estudiantes;1369
study;ˈstʌdi;estudiar;1370
study ;ˈstʌdi ;estudio ;1824
subject;ˈsʌbʤɪkt;sujeto;1371
substance;(sábstans)  ;	Sustancia;773
substances;ˈsʌbstənsəz;sustancias;1372
such;(sach)  ;	Tal, semejante;774
such ;sʌʧ ;tal ;1825
sudden;(sádEn)  ;	Repentino;775
suddenly;ˈsʌdənli;de repente;1373
suffix;ˈsʌfɪks;sufijo;1374
sugar;(ing-ed)  (SHúgar) ;	Azúcar;776
suggested;səɡˈʤɛstəd;sugirió;1375
suggestion;(sayésSHon)  ;	Sugestión;777
sum;sʌm;suma;1376
summer;(sámeR)  ;	Verano;778
sun;(ning-ned)  (san) ;	Sol;779
sun ;sʌn ;sol ;1826
sunday;(sándEi)  ;	Domingo;780
supply;səˈplaɪ;suministrar;1377
support;(er-ing-ed)  (sapóoRt) ;	Apoyo, sostén, soporte ;781
suppose;səˈpoʊz;suponer;1378
sure;ʃʊr;seguro;1379
surface;ˈsɜrfəs;superficie;1380
surface ;ˈsɜrfəs ;superficie ;1827
surprise;(surprising-d) (seR-ráiz); Sorpresa;782
sweet;(suiit)  ;	Dulce;783
swim;(suim)  ;	Baño de natación, acción de nadar;784
syllables;ˈsɪləbəlz;sílabas;1381
symbols;ˈsɪmbəlz;simbolos;1382
system;(sistem)  ;	Sistema;785
table;(téibEl)  ;	Mesa;786
table ;ˈteɪbəl ;mesa ;1828
tail;(teil)  ;	Cola;787
tail ;teɪl ;cola ;1829
take;(teik)  ;	Tomar, llevar, coger;788
talk;(er-ing-ed)  (took) ;	Conversación, charla;789
talk ;tɔk ;hablar ;1830
tall;(tool)  ;	Alto;790
taste;(r-tasting-d)  ;	Gusto, sabor;791
tatement;(steit-mEnt)  ;	Informe, relación, exposición ;749
tax;(er-ing-ed)  (taks) ;	Impuesto, contribución;792
teach ;tiʧ ;enseñar ;1831
teacher;(tíicheR)  ;	Maestro, profesor;793
teaching;(tíiching )  ;	Enseñando, enseñanza, instrucción;794
team;tim;equipo;1383
tell;tɛl;decir;1384
temperature;ˈtɛmprəʧər;temperatura;1385
ten;tɛn;diez;1386
ten ;tɛn ;diez ;1832
tendency;(téndensi)  ;	Tendencia;795
terms;tɜrmz;términos;1387
test;(er-ing-ed)  (test) ;	Prueba, ensayo, experimento ;796
test ;tɛst ;probar ;1833
than;(DZan)  (dan) ;	Que (partícula comparativa;797
than ;ðæn ;que ;1834
that;(DZat)  (dat) ;	Eso, esa, ese, que, aquel, aquello;798
that ;ðæt ;que ;1835
the;(DZii)  (dii) ;	El, la, los, las;799
the ;ði ;el ;1836
their;(DzeAR)(deAR) ;Su, suyo, suya(de ellos;801
their ;ðɛr ;su ;1837
theirs;(DZeARz)  (deARz) ;	El suyo, la suya, los suyos, la suyas, de ellos, de ellas;802
them;ðɛm;a ellos;1388
them ;ðɛm ;ellos ;1838
themselves;ðɛmˈsɛlvz;ellos mismos;1389
then;(DZen)  (den) ;	Después, entonces;800
then ;ðɛn ;entonces ;1839
theory;(zíori)  ;	Teoría;803
there;(DZeER)  (deER) ;	Ahí, allá, allí;804
there ;ðɛr ;allí ;1840
these;(DZíiz)  (diiz) ;	Estos, estas;805
these ;ðiz ;estos ;1841
they;(DZéi)  (dei) ;	Ellos, ellas;806
they ;ðeɪ ;ellos ;1842
thick;θɪk;grueso;1390
thiek;(zik)  ;	Grueso, espeso, denso;807
thin;(zin)  ;	Delgado;808
thing;(zinG)  ;	Cosa;809
thing ;θɪŋ ;cosa ;1843
think;θɪŋk;pensar;1391
think ;θɪŋk ;pensar ;1844
third;θɜrd;tercero;1392
this;(DZis)  (dis) ;	Este, esta, esto;810
this ;ðɪs ;este ;1845
those;(DZoUz)  (doUz) ;	Esos, esas, aquellos, aquellas;811
those ;ðoʊz ;esos ;1846
though;(zoot)  ;	Pensamiento;812
though ;ðoʊ ;aunque ;1847
thought;(DzoU)  (doU) ;	Aunque;813
thought ;θɔt ;pensamiento ;1848
thousand ;ˈθaʊzənd ;mil ;1849
thousands;ˈθaʊzəndz;miles;1393
thread;(ing-ed)  (zreed) ;	Hilo, hebra;814
three;θri;tres;1394
three ;θri ;tres ;1850
throat;(zróUt)  ;	Garganta;815
through;θru;a través de;1395
through ;θru ;a través de ;1851
throught;(zruu)  ;	A través de, por medio de;816
thumb;(zam)  ;	Pulgar, dedo pulgar ;817
thunder;(er-ing-ed)  (zándeR) ;	Trueno;818
thursday;(zéeRz-dEi)  ;	Jueves;819
thus;ðʌs;de este modo;1396
ticket;(tiquet)  ;	Boleto, rótulo, billete;820
tied;taɪd;atado;1397
tight;(tait)  ;	Apretado;821
till;(til)  ;	Hasta, hasta que;822
time;(taim)  ;	Tiempo;823
time ;taɪm ;tiempo ;1852
tin;(tin)  ;	Estaño, lata;824
tiny;ˈtaɪni;diminuto;1398
tired;(táiRed)  ;	Cansado, fatigado;825
to;(tuu)  ;	A, por, al, para;826
tocking;(stókinG)  ;	Media;761
today;təˈdeɪ;hoy;1399
together;(tugué-DZer) (tuguéd-eR) ; Dedo del pié ;827
together ;təˈɡɛðər ;juntos ;1853
told;toʊld;dijo;1400
told ;toʊld ;dijo ;1854
tomorrow;(tumóroU)  ;	Mañana;828
tone;toʊn;tono;1401
tongue;(tanG)  ;	Lengua;829
too;tu;también;1402
too ;tu ;demasiado ;1855
took;tʊk;tomó;1403
took ;tʊk ;tomó ;1856
tools;tulz;herramientas;1404
tooth;(tuuz)  ;	Diente;830
top;(top)  ;	Cima, cumbre;831
top ;tɑp ;top ;1857
tory;(stóori)  ;	Cuento, novela;766
total;ˈtoʊtəl;total;1405
touch;(ing-ed)  (tach) ;	Tacto, contacto, toqur;832
toward;təˈwɔrd;hacia;1406
toward ;təˈwɔrd ;hacia ;1858
towel ;ˈtaʊəl ;toalla ;1859
town;(taun)  ;	Ciudad;833
town ;taʊn ;ciudad ;1860
track;træk;pista;1407
trade;(r-trading-d)  (treid) ;Comercio, negocio;834
train;treeeiin;Tren;835
transport;treeiiinspoRt;Transporte;836
travel;ˈtrævəl;viajar;1408
travel ;ˈtrævəl ;viaje ;1861
travel ;ˈtrævəl ;viaje ;1862
tray;(trei)  ;	Bandeja;837
tree;(tríi)  ;	Arbol;838
tree ;tri ;árbol ;1863
triangle;ˈtraɪˌæŋɡəl;triángulo;1409
trick;(er-ing-ed)  (trik) ;	Artificio, engaño, burla ;839
trip;trɪp;viaje;1410
trouble;(r-troubling-d)  (trábEL); Dificultad, molestia, aflicción ;840
trousers;(tráuzerRz)  ;	Pantalones;841
truck;trʌk;camión;1411
true;(truu)  ;	Verdadero, sincero, verídico;842
try;traɪ;intentar;1412
try ;traɪ ;probar ;1864
tube;tub;tubo;1413
tuesday;(tiúuz-dEi)  ;	Martes;843
turn;(ing-ed)  t(éeRn) ;	Vuelta, giro;844
turn ;tɜrn ;girar ;1865
twist;(er-ing-ed) ( tuist) ; Torcedura;845
two;tu;dos;1414
type;taɪp;tipo;1415
umbrella;ambréla;Paraguas;846
uncle;ˈʌŋkəl;tío;1416
under;ándeR;	Bajo, ebajo, bajo de;847
under ;ˈʌndər ;bajo ;1866
underline;ˈʌndərˌlaɪn;subrayar;1417
understand;ˌʌndərˈstænd;entender;1418
unit;iúunit;	Unidad;848
unit ;ˈjunət ;unidad ;1867
until;ənˈtɪl;hasta;1419
until ;ənˈtɪl ;hasta ;1868
up;ap;	Arriba, en lo alto;849
up ;ʌp ;arriba ;1869
upon;əˈpɑn;al;1420
us;as;	Nos (a nosotros, a nosotras;850
us ;ʌs ;us ;1870
use;using-d;Uso;851
use ;juz ;utilizar ;1871
usual ;ˈjuʒəwəl ;habitual ;1872
usually;ˈjuʒəwəli;generalmente;1421
valley;ˈvæli;valle;1422
value;valuing-d;	Valor, precio;852
various;ˈvɛriəs;varios;1423
verb;vɜrb;verbo;1424
verse;veRs;	Verso;853
very;véri;	Muy;854
very ;ˈvɛri ;muy ;1873
vessel;vésEL;	Buque, vaso;855
view;viuu;	Vista, mirada, panorama;856
village;ˈvɪləʤ;aldea;1425
violent;váiolent;	Violento;857
visit;ˈvɪzət;visita;1426
voice;vois;	Voz;858
voice ;vɔɪs ;voz ;1874
vowel;ˈvaʊəl;vocal;1427
wait;weɪt;esperar;1428
wait ;weɪt ;esperar ;1875
waiter;weiteR;	Mozo, sirviente;859
waiting;weitinG;	Espera, esperand;860
walk;uuaaak;Paseo;861
walk ;wɔk ;caminar ;1876
wall;wool;	Muralla, pared;862
want;wɑnt;desear;1429
want ;wɑnt ;querer ;1877
war;wooR;	Guerra;863
war ;wɔr ;guerra ;1878
warm;wooRm;	Caliente, caluroso, ardient;864
warm ;wɔrm ;caliente ;1879
was;wʌz;era;1430
wash;uuaaash;Lavado, ropa lavada;865
Washington;ˈwɑʃɪŋtən;Washington;1431
wasn’t;ˈwɑzənt;no fue;1432
waste;r-wasting-d; Desperdicio, pérdida, basura;866
watch;uuaaach;	Reloj, centinela, guar;867
watch ;wɑʧ ;ver ;1880
water;uuaaadeR;Agua;868
water ;ˈwɔtər ;agua ;1881
wave;waving-ed;	Ola, onda, ondulación ;869
waves;weɪvz;ondas;1433
way;ueeey;	Camino, método, manera;870
way ;weɪ ;camino ;1882
we;wii;	Nosotros, nosotras Weather (wéDZeR;871
we ;wi ;nosotros ;1883
we’ll;wil;Bueno;1434
wear;wɛr;tener puesto;1435
weather;uueeedeR;Tiempo;872
week;wiik;	Semana;873
week ;wik ;semana ;1884
weight;ing-ed;Peso;874
well;wel;	Bien, pozo;875
well ;wɛl ;bien ;1885
went;wɛnt;fue;1436
went ;wɛnt ;fue ;1886
were;wɜr;eran;1437
were ;wɜr ;fueron ;1887
west;west;	Oeste;876
west ;wɛst ;oeste ;1888
western;ˈwɛstərn;occidental;1438
wet;wet;	Húmedo, mojado, humedad;877
what;juót;	Qué, cual, el que, la que;878
what ;wɑt ;qué ;1889
wheel;juil;	Rueda;879
wheel ;wil ;rueda ;1890
wheels;wilz;ruedas;1439
when;juen;	Cuando;880
when ;wɛn ;cuando ;1891
where;jueaR;	Donde;881
where ;wɛr ;dónde ;1892
whether;ˈwɛðər;si;1440
which;juich;	Qué, el cual, la cual, lo cual;882
which ;wɪʧ ;que ;1893
while;juail ;	Mientras, mientras que;883
while ;waɪl ;mientras ;1894
whip;juip;	Látigo, azote;884
whistle;juisEL;	Silbido, pito;885
white;juait;	Blanco;886
white ;waɪt ;blanco ;1895
who;juu;	Quien, el que, que;887
who ;hu ;que ;1896
whole;hoʊl;entero;1441
whole ;hoʊl ;todo ;1897
whom;juum;	A quien, a quienes;888
whose;juuz;	De quien, de quienes;889
why;waɪ;por qué;1442
why ;waɪ ;por qué ;1898
why?;juai;	¿por que?;890
wide;waid;	Ancho;891
wife;waɪf;esposa;1443
wild;waɪld;salvaje;1444
will;will;	Palabra para formar el futuro de los verbos;892
win;wɪn;ganar;1445
wind;wind;	Viento;893
wind ;wɪnd ;viento ;1899
window;windoU;	Ventana;894
wine;wain;	Vino;895
wing;winG;	Ala;896
wings;wɪŋz;alas;1446
winter;winteR;	Invierno;897
wire;wáiaR;	Alambre, hilo metálico;898
wise;waiz;	Sabio, ilustrado, erudito;899
wish;wɪʃ;desear;1447
with;wiDZ;Con;900
with ;wɪð ;con ;1900
within;wɪˈðɪn;dentro;1448
without;ueedaut;Sin;901
woman;uuooomen;Mujer;902
women;ˈwɪmən;mujer;1449
won’t;woʊnt;no;1450
wonder;ˈwʌndər;preguntarse;1451
wonder ;ˈwʌndər ;maravilla ;1901
wood;wud;	Madera, leña, bosque;903
wood ;wʊd ;madera ;1902
wool;wul;	Lana;904
word;wéeRd;	Palabra Work (er-ing-ed;905
word ;wɜrd ;palabra ;1903
work;uuooerk;Trabajo;906
work ;wɜrk ;trabajo ;1904
work ;wɜrk ;trabajo ;1905
workers;ˈwɜrkərz;trabajadores;1452
world;wɜrld;mundo;1453
world ;wɜrld ;mundo ;1906
worm;ueerm;Gusano;907
worse;wéeRs;	Peor, lo más malo, lo peor;908
worst;wéeRst;	Pésimo, lo más malo, lo peor;910
would;wʊd;haría;1454
would ;wʊd ;sería ;1907
wouldn’t;ˈwʊdənt;no lo haría;1455
write;raɪt;escribir;1456
write ;raɪt ;escribir ;1908
writer;ráiteR;	Escritor;909
writing;ráitinG;	Escribiendo, escritura, escrito;911
written;ˈrɪtən;escrito;1457
wrong;rong;	Equivocado, inexacto,erróneo, falso, mal;912
wrote;roʊt;escribió;1458
yard;jɑrd;patio;1459
year;yiAR;	Año;913
year ;jɪr ;año ;1909
yellow;yéloU;	Amarillo;914
yes;yes;	Si;915
yes ;jɛs ;si ;1910
yesterday;yésteRdEi;	Ayer;916
yet;jɛt;todavía;1460
yet ;jɛt ;sin embargo ;1911
you;yuu;	Usted, tú;917
you ;ju ;usted ;1912
you’re;jʊr;estás;1461
young;yang;	Joven;918
young ;jʌŋ ;joven ;1913
your;yuAR;	Su (de Ud, de Uds;919
your ;jʊər ;su,sus,tu,vuestro,vuestra,vuestras,vuestros;1914
yourself;jərˈsɛlf;tú mismo;1462
